Symptom,Hypertension,Coronary artery disease,Heart attack (Myocardial infarction),Heart failure,Arrhythmia,Peripheral artery disease,Stroke,Atherosclerosis,Atrial fibrillation,Deep vein thrombosis (DVT),Asthma,Chronic obstructive pulmonary disease (COPD),Pneumonia,Bronchitis,Tuberculosis,Pulmonary embolism,Lung cancer,Cystic fibrosis,Sleep apnea,Influenza (Flu),Alzheimer’s disease,Parkinson’s disease,Epilepsy,Migraine,Multiple sclerosis (MS),Amyotrophic lateral sclerosis (ALS),Dementia,Peripheral neuropathy,Bell’s palsy,Stroke (neurological),Diabetes mellitus (Type 1 & Type 2),Hypothyroidism,Hyperthyroidism,Cushing’s syndrome,Addison’s disease,Polycystic ovary syndrome (PCOS),Metabolic syndrome,Obesity,Gout,Hypoglycemia,Common cold,COVID-19,"Hepatitis A, B, or C",HIV/AIDS,Malaria,Lyme disease,Chickenpox (Varicella),Measles,Mumps,Rubella,Rheumatoid arthritis,Lupus (Systemic lupus erythematosus),Psoriasis,Celiac disease,Crohn’s disease,Ulcerative colitis,Ankylosing spondylitis,Graves’ disease,Sjögren’s syndrome,Scleroderma,Gastroesophageal reflux disease (GERD),Peptic ulcer disease,Irritable bowel syndrome (IBS),Gallstones,Pancreatitis,Liver cirrhosis,Hepatitis,Constipation,Hemorrhoids,Gastritis,Osteoarthritis,Osteoporosis,Fibromyalgia,Back pain,Scoliosis,Tendonitis,Carpal tunnel syndrome,Bursitis,Gout (musculoskeletal),Fractures,Cataracts,Glaucoma,Macular degeneration,Conjunctivitis (Pink eye),Tinnitus,Hearing loss,Meniere’s disease,Dry eye syndrome,Retinal detachment,Ear infection (Otitis media),Acne,Eczema (Atopic dermatitis),Psoriasis (skin),Rosacea,"Skin cancer (Melanoma, BCC, SCC)",Warts,Fungal infections,Hives (Urticaria),Shingles (Herpes zoster),Vitiligo
Rapid heartbeat,0.019,0.036,0.081,0.3,0.066,0.023,0.04,0.011,0.07,0.098,0.024,0.036,0.022,0.086,0.063,0.073,0.043,0.097,0.075,0.086,0.016,0.077,0.069,0.082,0.029,0.07,0.064,0.022,0.073,0.055,0.012,0.019,0.097,0.021,0.035,0.048,0.042,0.039,0.043,0.038,0.093,0.029,0.012,0.095,0.09,0.08,0.012,0.099,0.094,0.048,0.043,0.025,0.031,0.055,0.015,0.064,0.016,0.075,0.097,0.049,0.088,0.012,0.031,0.021,0.035,0.069,0.091,0.041,0.033,0.088,0.084,0.072,0.068,0.03,0.074,0.036,0.032,0.021,0.065,0.092,0.046,0.055,0.092,0.068,0.043,0.09,0.038,0.016,0.05,0.071,0.1,0.043,0.048,0.026,0.032,0.053,0.02,0.085,0.033,0.049
Slow heartbeat,0.02,0.06,0.079,0.082,0.056,0.013,0.012,0.092,0.081,0.06,0.019,0.046,0.079,0.018,0.025,0.056,0.059,0.057,0.083,0.07,0.05,0.023,0.013,0.075,0.098,0.073,0.052,0.028,0.014,0.051,0.032,0.052,0.031,0.017,0.014,0.088,0.043,0.058,0.035,0.037,0.082,0.026,0.073,0.012,0.061,0.026,0.058,0.058,0.042,0.048,0.049,0.033,0.013,0.021,0.01,0.028,0.07,0.088,0.028,0.046,0.084,0.093,0.05,0.033,0.049,0.045,0.084,0.017,0.063,0.057,0.085,0.073,0.053,0.013,0.098,0.046,0.048,0.038,0.04,0.063,0.078,0.082,0.015,0.063,0.07,0.021,0.033,0.012,0.069,0.063,0.059,0.095,0.016,0.074,0.078,0.087,0.067,0.034,0.01,0.032
Irregular heartbeat,0.1,0.016,0.081,0.014,0.065,0.055,0.083,0.037,0.085,0.084,0.094,0.046,0.065,0.099,0.067,0.068,0.028,0.063,0.072,0.083,0.044,0.06,0.036,0.047,0.044,0.019,0.029,0.036,0.014,0.053,0.034,0.031,0.026,0.039,0.026,0.076,0.097,0.07,0.064,0.062,0.092,0.1,0.05,0.011,0.074,0.092,0.025,0.049,0.099,0.069,0.012,0.052,0.056,0.084,0.059,0.025,0.018,0.015,0.024,0.07,0.012,0.082,0.066,0.019,0.094,0.094,0.095,0.082,0.031,0.072,0.078,0.061,0.064,0.09,0.08,0.05,0.023,0.02,0.098,0.097,0.076,0.058,0.066,0.097,0.094,0.056,0.083,0.087,0.097,0.094,0.09,0.037,0.022,0.078,0.051,0.089,0.042,0.056,0.093,0.061
Shaking,0.05,0.056,0.049,0.011,0.026,0.083,0.033,0.014,0.053,0.053,0.018,0.086,0.086,0.044,0.018,0.064,0.018,0.068,0.018,0.024,0.09,0.071,0.063,0.081,0.064,0.048,0.091,0.024,0.075,0.045,0.095,0.07,0.086,0.07,0.015,0.014,0.042,0.074,0.033,0.081,0.081,0.048,0.042,0.014,0.091,0.068,0.026,0.036,0.09,0.072,0.06,0.04,0.044,0.02,0.094,0.062,0.087,0.069,0.068,0.026,0.068,0.09,0.093,0.073,0.035,0.065,0.045,0.032,0.034,0.065,0.012,0.051,0.038,0.016,0.011,0.06,0.019,0.023,0.098,0.042,0.078,0.084,0.047,0.059,0.021,0.055,0.062,0.081,0.03,0.058,0.058,0.055,0.065,0.089,0.022,0.033,0.053,0.099,0.078,0.05
Sweating,0.062,0.048,0.45,0.016,0.037,0.029,0.085,0.063,0.078,0.075,0.042,0.078,0.064,0.083,0.1,0.089,0.074,0.02,0.029,0.075,0.09,0.041,0.098,0.014,0.033,0.06,0.018,0.04,0.085,0.012,0.025,0.092,0.4,0.037,0.023,0.021,0.019,0.039,0.013,0.027,0.036,0.013,0.061,0.046,0.016,0.078,0.054,0.092,0.077,0.08,0.021,0.033,0.058,0.078,0.067,0.059,0.096,0.4,0.088,0.052,0.06,0.019,0.017,0.034,0.057,0.1,0.081,0.086,0.066,0.093,0.066,0.095,0.059,0.065,0.058,0.082,0.032,0.098,0.046,0.066,0.05,0.094,0.044,0.038,0.09,0.018,0.041,0.034,0.038,0.069,0.02,0.065,0.075,0.071,0.015,0.072,0.053,0.043,0.073,0.044
Clammy skin,0.073,0.042,0.016,0.017,0.071,0.016,0.085,0.058,0.079,0.083,0.029,0.038,0.047,0.074,0.021,0.056,0.033,0.044,0.015,0.054,0.014,0.063,0.069,0.037,0.022,0.058,0.062,0.026,0.036,0.044,0.044,0.088,0.081,0.077,0.06,0.049,0.055,0.015,0.081,0.034,0.011,0.081,0.038,0.048,0.043,0.078,0.041,0.09,0.061,0.08,0.038,0.039,0.3,0.08,0.082,0.013,0.022,0.087,0.043,0.082,0.089,0.08,0.087,0.027,0.048,0.073,0.015,0.046,0.04,0.065,0.031,0.015,0.073,0.071,0.024,0.027,0.026,0.036,0.097,0.082,0.049,0.089,0.072,0.053,0.046,0.079,0.065,0.045,0.019,0.026,0.3,0.3,0.32,0.3,0.055,0.3,0.3,0.3,0.045,0.32
Dry skin patches,0.078,0.098,0.011,0.053,0.056,0.046,0.074,0.099,0.022,0.089,0.026,0.064,0.095,0.05,0.081,0.011,0.082,0.05,0.099,0.047,0.034,0.025,0.083,0.017,0.076,0.093,0.015,0.058,0.031,0.078,0.053,0.3,0.041,0.063,0.045,0.078,0.014,0.06,0.098,0.067,0.043,0.034,0.056,0.038,0.021,0.06,0.078,0.055,0.089,0.043,0.078,0.096,0.3,0.071,0.049,0.037,0.043,0.069,0.04,0.023,0.028,0.089,0.02,0.095,0.024,0.074,0.05,0.079,0.065,0.076,0.098,0.071,0.066,0.083,0.018,0.049,0.08,0.079,0.032,0.036,0.068,0.077,0.054,0.013,0.088,0.06,0.044,0.025,0.017,0.053,0.3,0.3,0.32,0.3,0.065,0.3,0.3,0.3,0.04,0.32
Itchy scalp,0.013,0.065,0.081,0.031,0.075,0.055,0.023,0.066,0.031,0.086,0.089,0.011,0.087,0.088,0.081,0.077,0.056,0.074,0.046,0.053,0.036,0.091,0.086,0.041,0.026,0.033,0.093,0.096,0.034,0.048,0.084,0.029,0.058,0.043,0.016,0.064,0.03,0.073,0.06,0.011,0.072,0.078,0.082,0.07,0.032,0.064,0.023,0.051,0.055,0.069,0.089,0.076,0.082,0.061,0.048,0.063,0.056,0.024,0.09,0.072,0.015,0.099,0.038,0.062,0.022,0.053,0.035,0.05,0.022,0.044,0.013,0.018,0.076,0.064,0.077,0.044,0.033,0.034,0.091,0.085,0.068,0.063,0.025,0.031,0.061,0.019,0.098,0.099,0.069,0.055,0.045,0.084,0.095,0.061,0.099,0.057,0.056,0.014,0.062,0.093
Scalp tenderness,0.025,0.021,0.083,0.011,0.031,0.09,0.011,0.072,0.045,0.049,0.02,0.092,0.056,0.067,0.07,0.06,0.082,0.053,0.045,0.011,0.018,0.037,0.044,0.082,0.036,0.093,0.031,0.06,0.094,0.068,0.068,0.018,0.056,0.014,0.053,0.048,0.078,0.087,0.068,0.028,0.038,0.088,0.063,0.085,0.081,0.013,0.028,0.08,0.012,0.085,0.046,0.026,0.043,0.083,0.095,0.096,0.063,0.049,0.017,0.012,0.072,0.049,0.098,0.07,0.048,0.018,0.011,0.068,0.092,0.037,0.018,0.018,0.086,0.099,0.03,0.035,0.083,0.059,0.019,0.065,0.093,0.063,0.08,0.052,0.057,0.011,0.08,0.078,0.049,0.059,0.036,0.023,0.058,0.061,0.066,0.024,0.065,0.081,0.058,0.059
Neck stiffness,0.06,0.057,0.067,0.021,0.058,0.071,0.068,0.08,0.017,0.013,0.082,0.049,0.043,0.086,0.061,0.091,0.012,0.064,0.021,0.095,0.022,0.089,0.079,0.042,0.086,0.067,0.062,0.085,0.027,0.011,0.098,0.06,0.011,0.095,0.091,0.043,0.023,0.017,0.5,0.04,0.038,0.096,0.051,0.051,0.074,0.07,0.022,0.037,0.064,0.081,0.7,0.071,0.085,0.06,0.035,0.065,0.7,0.095,0.049,0.3,0.023,0.095,0.04,0.063,0.05,0.083,0.089,0.092,0.034,0.076,0.6,0.5,0.084,0.041,0.036,0.5,0.085,0.5,0.52,0.5,0.086,0.023,0.086,0.043,0.085,0.074,0.012,0.076,0.016,0.046,0.093,0.091,0.047,0.096,0.051,0.029,0.022,0.086,0.052,0.026
Difficulty turning head,0.025,0.06,0.04,0.075,0.081,0.01,0.018,0.057,0.095,0.084,0.026,0.072,0.075,0.032,0.022,0.048,0.045,0.094,0.093,0.082,0.044,0.053,0.015,0.042,0.061,0.073,0.095,0.018,0.062,0.098,0.065,0.086,0.09,0.02,0.083,0.018,0.027,0.017,0.089,0.077,0.03,0.084,0.081,0.015,0.061,0.028,0.013,0.016,0.049,0.038,0.011,0.096,0.033,0.073,0.099,0.018,0.055,0.081,0.061,0.039,0.036,0.083,0.023,0.061,0.052,0.063,0.062,0.088,0.047,0.022,0.033,0.096,0.079,0.047,0.076,0.096,0.081,0.056,0.023,0.053,0.082,0.083,0.017,0.091,0.075,0.016,0.033,0.014,0.042,0.061,0.065,0.03,0.026,0.052,0.037,0.097,0.081,0.076,0.049,0.057
Chronic cough,0.089,0.032,0.088,0.2,0.058,0.047,0.035,0.059,0.014,0.049,0.6,0.8,0.8,0.85,0.8,0.094,0.6,0.9,0.097,0.7,0.031,0.093,0.082,0.067,0.086,0.047,0.022,0.014,0.04,0.05,0.05,0.035,0.015,0.042,0.066,0.042,0.043,0.046,0.029,0.026,0.5,0.6,0.059,0.04,0.079,0.02,0.054,0.7,0.076,0.07,0.064,0.09,0.019,0.018,0.019,0.08,0.095,0.019,0.099,0.012,0.04,0.037,0.095,0.071,0.015,0.073,0.025,0.012,0.075,0.043,0.031,0.084,0.094,0.073,0.017,0.026,0.01,0.017,0.022,0.049,0.038,0.081,0.061,0.088,0.015,0.024,0.048,0.083,0.093,0.017,0.02,0.029,0.075,0.026,0.089,0.097,0.069,0.072,0.033,0.067
Phlegm buildup,0.066,0.013,0.035,0.096,0.054,0.079,0.073,0.086,0.052,0.06,0.094,0.074,0.063,0.043,0.013,0.031,0.078,0.016,0.011,0.045,0.096,0.066,0.097,0.08,0.011,0.072,0.062,0.01,0.041,0.094,0.089,0.049,0.056,0.073,0.078,0.016,0.059,0.066,0.092,0.096,0.099,0.04,0.065,0.09,0.096,0.042,0.078,0.032,0.044,0.061,0.023,0.043,0.016,0.015,0.097,0.061,0.062,0.068,0.046,0.049,0.092,0.084,0.015,0.059,0.075,0.053,0.014,0.073,0.032,0.053,0.034,0.071,0.074,0.3,0.07,0.061,0.036,0.062,0.097,0.044,0.03,0.01,0.054,0.044,0.086,0.024,0.04,0.03,0.067,0.085,0.017,0.029,0.044,0.033,0.091,0.027,0.02,0.058,0.027,0.016
Bloated stomach,0.027,0.095,0.073,0.023,0.081,0.038,0.087,0.016,0.076,0.013,0.014,0.091,0.048,0.071,0.042,0.011,0.079,0.059,0.092,0.056,0.032,0.024,0.091,0.018,0.045,0.03,0.022,0.093,0.035,0.071,0.096,0.093,0.051,0.078,0.1,0.06,0.098,0.051,0.087,0.087,0.018,0.063,0.063,0.048,0.025,0.014,0.096,0.032,0.07,0.089,0.082,0.09,0.023,0.043,0.057,0.017,0.052,0.052,0.012,0.064,0.01,0.05,0.018,0.041,0.025,0.074,0.06,0.026,0.049,0.096,0.019,0.082,0.075,0.025,0.042,0.092,0.081,0.057,0.092,0.075,0.072,0.061,0.049,0.08,0.055,0.029,0.043,0.06,0.017,0.063,0.038,0.077,0.072,0.052,0.073,0.018,0.06,0.014,0.015,0.099
Burning urination,0.041,0.031,0.058,0.083,0.064,0.029,0.059,0.044,0.095,0.056,0.062,0.091,0.082,0.035,0.097,0.038,0.015,0.019,0.056,0.025,0.078,0.025,0.015,0.06,0.065,0.058,0.066,0.085,0.031,0.07,0.024,0.033,0.035,0.054,0.035,0.029,0.022,0.077,0.057,0.02,0.048,0.096,0.042,0.064,0.028,0.011,0.021,0.066,0.011,0.013,0.029,0.015,0.094,0.073,0.03,0.022,0.075,0.055,0.087,0.021,0.089,0.032,0.075,0.014,0.08,0.022,0.018,0.04,0.014,0.033,0.028,0.071,0.084,0.041,0.081,0.031,0.085,0.051,0.042,0.091,0.019,0.058,0.022,0.016,0.012,0.025,0.064,0.047,0.09,0.072,0.077,0.052,0.044,0.065,0.087,0.024,0.077,0.058,0.021,0.081
Pelvic pain,0.4,0.086,0.077,0.084,0.016,0.045,0.025,0.061,0.082,0.028,0.021,0.054,0.055,0.043,0.06,0.043,0.086,0.086,0.092,0.051,0.078,0.09,0.044,0.073,0.094,0.018,0.056,0.045,0.043,0.037,0.036,0.079,0.033,0.069,0.05,0.049,0.098,0.072,0.6,0.027,0.03,0.048,0.6,0.068,0.044,0.051,0.022,0.025,0.022,0.089,0.021,0.4,0.023,0.029,0.047,0.022,0.085,0.041,0.069,0.073,0.6,0.7,0.8,0.7,0.3,0.3,0.058,0.4,0.5,0.6,0.066,0.6,0.9,0.3,0.5,0.8,0.084,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.027,0.043,0.015,0.058,0.03,0.033,0.028,0.083,0.083,0.8,0.017
Lower back pain,0.4,0.086,0.058,0.047,0.044,0.075,0.043,0.052,0.075,0.092,0.061,0.034,0.04,0.051,0.063,0.091,0.082,0.034,0.079,0.091,0.067,0.095,0.042,0.032,0.043,0.052,0.087,0.045,0.094,0.064,0.055,0.097,0.016,0.029,0.035,0.017,0.041,0.043,0.6,0.092,0.062,0.093,0.6,0.093,0.038,0.018,0.041,0.078,0.064,0.039,0.095,0.4,0.046,0.086,0.026,0.087,0.8,0.051,0.098,0.022,0.6,0.7,0.8,0.7,0.3,0.3,0.036,0.4,0.5,0.6,0.063,0.6,0.9,0.3,0.5,0.8,0.039,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.021,0.095,0.084,0.093,0.023,0.021,0.043,0.059,0.018,0.8,0.035
Side pain,0.4,0.043,0.097,0.035,0.091,0.049,0.092,0.082,0.033,0.086,0.069,0.071,0.014,0.055,0.068,0.025,0.068,0.083,0.012,0.058,0.082,0.089,0.084,0.03,0.05,0.051,0.062,0.046,0.039,0.027,0.052,0.02,0.092,0.068,0.014,0.079,0.073,0.083,0.6,0.094,0.016,0.093,0.6,0.068,0.069,0.014,0.012,0.024,0.087,0.026,0.022,0.4,0.039,0.07,0.095,0.021,0.012,0.037,0.097,0.072,0.6,0.7,0.8,0.7,0.3,0.3,0.099,0.4,0.5,0.6,0.066,0.6,0.9,0.3,0.5,0.8,0.064,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.025,0.068,0.079,0.05,0.073,0.027,0.057,0.065,0.01,0.8,0.053
Pain radiating to leg,0.4,0.09,0.085,0.08,0.03,0.03,0.048,0.056,0.097,0.052,0.018,0.014,0.098,0.014,0.027,0.065,0.081,0.021,0.056,0.024,0.087,0.044,0.019,0.054,0.024,0.019,0.068,0.096,0.098,0.03,0.097,0.071,0.067,0.026,0.018,0.087,0.07,0.086,0.6,0.074,0.034,0.087,0.6,0.053,0.039,0.078,0.022,0.029,0.097,0.03,0.072,0.4,0.096,0.093,0.056,0.067,0.078,0.036,0.1,0.041,0.6,0.7,0.8,0.7,0.3,0.3,0.087,0.4,0.5,0.6,0.044,0.6,0.9,0.3,0.5,0.8,0.091,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.031,0.054,0.038,0.087,0.095,0.079,0.069,0.039,0.011,0.8,0.03
Shoulder blade pain,0.4,0.046,0.015,0.081,0.07,0.031,0.085,0.053,0.043,0.016,0.076,0.081,0.014,0.039,0.061,0.082,0.094,0.069,0.043,0.049,0.075,0.016,0.061,0.093,0.041,0.049,0.012,0.094,0.018,0.075,0.063,0.029,0.039,0.059,0.042,0.027,0.053,0.01,0.6,0.033,0.049,0.024,0.6,0.066,0.069,0.019,0.076,0.018,0.038,0.095,0.061,0.4,0.049,0.095,0.046,0.058,0.068,0.047,0.061,0.057,0.6,0.7,0.8,0.7,0.3,0.3,0.079,0.4,0.5,0.6,0.013,0.6,0.9,0.3,0.5,0.8,0.059,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.027,0.096,0.07,0.081,0.067,0.026,0.021,0.014,0.021,0.8,0.086
Arm weakness,0.08,0.054,0.044,0.099,0.061,0.051,0.3,0.053,0.074,0.01,0.048,0.061,0.046,0.038,0.07,0.049,0.046,0.062,0.063,0.093,0.09,0.3,0.083,0.045,0.6,0.072,0.3,0.2,0.013,0.31,0.042,0.073,0.052,0.013,0.077,0.098,0.061,0.065,0.097,0.05,0.02,0.067,0.069,0.022,0.073,0.03,0.029,0.073,0.063,0.075,0.026,0.041,0.025,0.024,0.047,0.029,0.037,0.099,0.087,0.065,0.092,0.066,0.06,0.061,0.04,0.045,0.093,0.047,0.049,0.037,0.04,0.034,0.091,0.093,0.077,0.038,0.4,0.017,0.091,0.065,0.046,0.094,0.063,0.078,0.032,0.074,0.087,0.035,0.051,0.03,0.089,0.089,0.034,0.057,0.071,0.069,0.061,0.023,0.014,0.04
Leg weakness,0.048,0.064,0.053,0.094,0.099,0.07,0.3,0.079,0.057,0.087,0.034,0.032,0.019,0.011,0.09,0.061,0.022,0.072,0.02,0.053,0.014,0.3,0.091,0.057,0.6,0.067,0.3,0.2,0.053,0.31,0.087,0.021,0.032,0.014,0.035,0.049,0.037,0.094,0.023,0.065,0.061,0.084,0.023,0.076,0.042,0.022,0.02,0.076,0.052,0.087,0.088,0.058,0.064,0.027,0.062,0.067,0.086,0.097,0.06,0.049,0.083,0.093,0.065,0.095,0.033,0.042,0.037,0.033,0.039,0.045,0.018,0.03,0.059,0.3,0.09,0.037,0.4,0.085,0.024,0.07,0.022,0.087,0.028,0.051,0.026,0.047,0.069,0.012,0.031,0.051,0.062,0.055,0.072,0.082,0.046,0.084,0.085,0.013,0.081,0.099
Hand tremor,0.069,0.074,0.091,0.061,0.035,0.078,0.096,0.024,0.082,0.018,0.07,0.054,0.09,0.016,0.034,0.099,0.037,0.086,0.015,0.031,0.081,0.085,0.095,0.025,0.083,0.065,0.035,0.045,0.026,0.078,0.076,0.078,0.078,0.028,0.022,0.099,0.066,0.031,0.022,0.022,0.046,0.099,0.029,0.089,0.031,0.03,0.033,0.052,0.016,0.072,0.07,0.048,0.051,0.094,0.011,0.087,0.023,0.053,0.065,0.078,0.038,0.091,0.015,0.035,0.043,0.015,0.095,0.026,0.031,0.062,0.079,0.083,0.025,0.013,0.034,0.093,0.4,0.014,0.059,0.051,0.095,0.082,0.083,0.082,0.093,0.011,0.051,0.025,0.025,0.082,0.036,0.089,0.015,0.083,0.075,0.092,0.033,0.089,0.052,0.08
Finger twitching,0.019,0.093,0.068,0.072,0.039,0.033,0.02,0.081,0.064,0.088,0.093,0.015,0.042,0.059,0.058,0.093,0.024,0.071,0.067,0.041,0.088,0.016,0.024,0.064,0.082,0.063,0.072,0.045,0.078,0.035,0.033,0.056,0.077,0.095,0.054,0.066,0.051,0.079,0.017,0.027,0.022,0.018,0.014,0.058,0.097,0.014,0.8,0.098,0.06,0.083,0.077,0.014,0.4,0.098,0.017,0.087,0.088,0.054,0.072,0.082,0.094,0.064,0.042,0.063,0.066,0.033,0.042,0.064,0.4,0.091,0.02,0.019,0.026,0.091,0.095,0.077,0.032,0.06,0.026,0.012,0.087,0.023,0.02,0.026,0.071,0.072,0.033,0.089,0.044,0.096,0.4,0.4,0.42,0.4,0.028,0.4,0.4,0.4,0.6,0.42
Nail changes,0.055,0.057,0.056,0.062,0.04,0.034,0.012,0.025,0.087,0.065,0.044,0.056,0.041,0.065,0.089,0.027,0.071,0.055,0.066,0.091,0.046,0.067,0.029,0.095,0.064,0.038,0.031,0.027,0.093,0.053,0.082,0.024,0.042,0.024,0.048,0.09,0.3,0.018,0.083,0.3,0.069,0.062,0.093,0.024,0.036,0.016,0.093,0.096,0.079,0.03,0.024,0.039,0.078,0.073,0.046,0.049,0.052,0.075,0.024,0.047,0.084,0.075,0.07,0.096,0.014,0.044,0.04,0.033,0.056,0.068,0.06,0.019,0.028,0.02,0.069,0.078,0.014,0.035,0.058,0.087,0.073,0.024,0.084,0.018,0.087,0.018,0.085,0.08,0.043,0.037,0.07,0.09,0.074,0.058,0.088,0.059,0.058,0.099,0.037,0.011
Pale nails,0.079,0.02,0.039,0.06,0.015,0.038,0.038,0.022,0.085,0.01,0.082,0.026,0.094,0.092,0.055,0.067,0.053,0.085,0.057,0.08,0.096,0.067,0.035,0.088,0.077,0.08,0.021,0.049,0.022,0.037,0.026,0.065,0.074,0.049,0.023,0.017,0.026,0.038,0.016,0.036,0.065,0.058,0.082,0.02,0.076,0.094,0.093,0.061,0.088,0.088,0.018,0.088,0.05,0.084,0.047,0.065,0.098,0.035,0.072,0.019,0.024,0.073,0.02,0.059,0.015,0.089,0.048,0.012,0.072,0.025,0.01,0.01,0.094,0.077,0.059,0.027,0.046,0.089,0.01,0.067,0.039,0.026,0.032,0.058,0.031,0.074,0.094,0.06,0.025,0.048,0.083,0.025,0.08,0.079,0.016,0.051,0.058,0.049,0.084,0.078
Spoon-shaped nails,0.094,0.087,0.026,0.06,0.09,0.089,0.055,0.09,0.071,0.089,0.028,0.083,0.047,0.077,0.056,0.067,0.089,0.097,0.092,0.078,0.079,0.026,0.051,0.032,0.06,0.097,0.02,0.098,0.027,0.07,0.081,0.028,0.03,0.065,0.019,0.059,0.056,0.097,0.041,0.027,0.076,0.076,0.016,0.053,0.074,0.079,0.095,0.012,0.096,0.053,0.045,0.069,0.048,0.067,0.043,0.062,0.011,0.091,0.058,0.019,0.069,0.034,0.079,0.066,0.052,0.05,0.047,0.051,0.055,0.02,0.097,0.048,0.087,0.068,0.059,0.037,0.069,0.026,0.071,0.099,0.084,0.024,0.045,0.043,0.096,0.046,0.045,0.025,0.088,0.062,0.018,0.039,0.028,0.066,0.063,0.09,0.025,0.039,0.064,0.07
Shortness of breath on exertion,0.3,0.4,0.6,0.75,0.2,0.088,0.012,0.034,0.3,0.079,0.7,0.7,0.6,0.016,0.049,0.8,0.054,0.061,0.06,0.064,0.038,0.071,0.033,0.042,0.066,0.061,0.047,0.017,0.056,0.082,0.082,0.086,0.02,0.052,0.036,0.051,0.095,0.041,0.046,0.062,0.083,0.2,0.044,0.08,0.058,0.034,0.038,0.081,0.025,0.068,0.083,0.089,0.039,0.025,0.085,0.099,0.025,0.023,0.051,0.046,0.036,0.064,0.016,0.086,0.026,0.058,0.033,0.057,0.079,0.01,0.089,0.062,0.027,0.07,0.014,0.053,0.07,0.059,0.031,0.064,0.053,0.085,0.077,0.02,0.041,0.099,0.031,0.023,0.096,0.081,0.092,0.014,0.029,0.071,0.075,0.078,0.046,0.063,0.088,0.064
Cough worsening at night,0.068,0.012,0.097,0.2,0.036,0.06,0.079,0.027,0.049,0.059,0.6,0.8,0.8,0.85,0.8,0.053,0.6,0.012,0.021,0.7,0.047,0.068,0.013,0.02,0.078,0.048,0.09,0.021,0.031,0.093,0.037,0.097,0.022,0.064,0.014,0.054,0.07,0.096,0.06,0.094,0.5,0.6,0.037,0.013,0.023,0.08,0.021,0.7,0.065,0.049,0.053,0.038,0.048,0.026,0.095,0.026,0.065,0.04,0.029,0.067,0.069,0.05,0.013,0.055,0.053,0.045,0.059,0.072,0.039,0.064,0.064,0.039,0.019,0.084,0.031,0.03,0.011,0.085,0.097,0.036,0.076,0.03,0.025,0.085,0.091,0.015,0.077,0.045,0.069,0.095,0.094,0.016,0.075,0.053,0.093,0.068,0.067,0.052,0.024,0.08
Loss of coordination,0.3,0.059,0.032,0.041,0.039,0.071,0.06,0.025,0.063,0.037,0.071,0.041,0.074,0.038,0.047,0.098,0.039,0.043,0.018,0.016,0.04,0.015,0.087,0.014,0.038,0.018,0.05,0.038,0.052,0.079,0.067,0.042,0.023,0.049,0.058,0.077,0.076,0.02,0.081,0.052,0.042,0.037,0.083,0.061,0.028,0.036,0.091,0.028,0.04,0.054,0.058,0.03,0.021,0.03,0.017,0.081,0.072,0.032,0.068,0.093,0.098,0.048,0.013,0.053,0.058,0.026,0.092,0.016,0.081,0.053,0.053,0.011,0.084,0.049,0.038,0.016,0.026,0.05,0.038,0.039,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.048,0.053,0.036,0.088,0.055,0.076,0.05,0.044,0.025,0.083,0.063
Forgetfulness,0.016,0.038,0.029,0.046,0.063,0.062,0.09,0.067,0.049,0.097,0.041,0.065,0.062,0.081,0.072,0.02,0.058,0.06,0.053,0.062,0.058,0.031,0.094,0.074,0.025,0.073,0.059,0.047,0.057,0.091,0.025,0.037,0.035,0.094,0.08,0.037,0.078,0.091,0.07,0.075,0.062,0.049,0.06,0.089,0.084,0.09,0.04,0.074,0.041,0.057,0.095,0.077,0.086,0.015,0.023,0.05,0.063,0.076,0.065,0.091,0.086,0.085,0.084,0.037,0.059,0.068,0.092,0.051,0.017,0.011,0.04,0.062,0.037,0.097,0.093,0.083,0.081,0.082,0.029,0.055,0.089,0.057,0.045,0.057,0.017,0.075,0.067,0.029,0.055,0.078,0.086,0.02,0.017,0.032,0.099,0.054,0.058,0.035,0.092,0.062
Difficulty walking,0.09,0.012,0.082,0.069,0.088,0.086,0.5,0.086,0.085,0.05,0.062,0.043,0.023,0.088,0.093,0.063,0.03,0.081,0.018,0.085,0.038,0.055,0.078,0.078,0.052,0.077,0.079,0.07,0.028,0.071,0.012,0.077,0.021,0.032,0.063,0.011,0.096,0.058,0.087,0.099,0.038,0.068,0.038,0.021,0.075,0.014,0.015,0.058,0.084,0.082,0.087,0.075,0.014,0.039,0.089,0.037,0.074,0.029,0.016,0.041,0.073,0.081,0.055,0.044,0.046,0.092,0.017,0.072,0.056,0.064,0.061,0.029,0.032,0.066,0.073,0.066,0.059,0.098,0.098,0.086,0.049,0.043,0.096,0.051,0.032,0.069,0.087,0.084,0.032,0.054,0.027,0.041,0.089,0.019,0.036,0.045,0.071,0.014,0.022,0.056
